MRK_2019.pdf,MRK_2018.pdf,MRK_2020.pdf,MRK_2021.pdf
"We have also prioritized the health, safety and wellbeing of our employees.",,,
"Recognizing both their passion to make a difference and the demand for frontline health care professionals, we introduced a new global program in March 2020 to enable our medically trained employees to volunteer time to aid their communities while maintaining their base pay.",,,
We are so grateful to our employees who heeded the call to serve — they exemplify our commitment to patients and to our mission to save and improve lives.,,,
"In addition, we have contributed or committed more than $30 million to global, national and local COVID-19 relief efforts to help strengthen health systems and address health disparities, including among Black and A message from our CEO Latino Americans who have been disproportionately impacted by the pandemic.",,,
"We’re also addressing these disparities through our social justice efforts, partnering to close the opportunity gap to diverse talent at all stages of their careers.",,,
"We continue to advance economic inclusion through our 35-year- long effort to support small- and minority-owned business and support our workforce through a broad range of existing diversity and inclusion resources, including those aimed at eliminating unconscious bias, discrimination and exclusion.",,,
Our stand against systemic racism and for health equity and economic inclusion along with our ability to respond with confidence to crises like this pandemic are underpinned by our core commitment to operating responsibly.,,,
"What we do matters as much as how we work, which is why acting responsibly is embraced within our four key areas of corporate responsibility: Access to Health, Employees, Environmental Sustainability, and Ethics & Values.",,,
"In this report, we provide updates on our strategy and performance in these key areas, reflecting progress we made in 2019 as well as the first half of 2020.",,,
One of our proudest achievements is our work to combat the latest Ebola outbreak in the Democratic Republic of the Congo (DRC).,,,
"Since July 2018, over 300,000 patients have been vaccinated to-date with investigational doses of Ebola Zaire Vaccine (V920) that we donated to the World Health Organization (WHO) in support of outbreak response efforts.",,,
"In November 2019, ERVEBO (Ebola Zaire Vaccine, Live) was prequalified by WHO, and in December 2019 it was approved by the FDA.",,,
"While manufacturing efforts continue, we are committed to continuing to supply investigational doses as needed to support ongoing outbreak response efforts in the DRC and neighboring countries.",,,
These efforts help ensure that a vaccine will continue to be available in the fight against this deadly virus.,,,
"Our response to the Ebola outbreak is part of our long track record of making our vaccines 4 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social Indicesand medicines accessible and affordable, work that is guided by our Access to Health Guiding Principles.",,,
"First introduced in 2010, the Principles ensure we fulfill our commitment to access as a core company value.",,,
"Recognizing changing global access needs, we conducted a strategic reevaluation of our principles this past year.",,,
We’re pleased to come forward with refreshed principles and Key Performance Indicators (KPIs) that measure and report on our progress and performance in a more meaningful way.,,,
"We have also recently increased the diversity of our Board of Directors, now comprising 46 percent women, up from 33 percent at the end of 2019.",,,
Our Board has long believed in the business value of having diverse perspectives and is committed to having the right mix of skills and expertise to address our current and future needs.,,,
"These, and many other examples of our progress this past year, are detailed in this report which uses widely recognized reporting Kenneth C. Frazier Chairman and Chief Executive Officerframeworks, reflects our support for the 10 universally accepted principles of the UN Global Compact, and recognizes the important role we play in helping to address the UN Sustainable Development Goals (SDGs).",,,
"Our primary focus as it relates to these global goals is SDG 3, Good Health and Wellbeing, which aligns with our core business and mission.",,,
"While 2020 has been, and will continue to be, challenging in unparalleled ways, the ingenuity, flexibility and perseverance of our more than 70,000 employees gives me hope.",,,
"Throughout our history, we have been committed to a clear and compelling mission to save and improve lives.",,,
We have every intention to continue on this path.,,,
"Sincerely, 5 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesOperating responsibly as a business is at the very heart of our ability to deliver sustainable impact — driving long-term value for our company and society.Our purpose For more than a century, we have been inventing medicines and vaccines for many of the world’s most challenging diseases, and we have built a company with the talent, tenacity and strength to take on some of the biggest threats to human and animal health.",,,
"We continue to focus our research on conditions that represent some of today’s most significant health challenges — cancer, diabetes, HIV, HPV, hepatitis C, cardio-metabolic disease, antibiotic-resistant infection, Alzheimer’s disease and others — and we are on the front lines in the fight against global pandemics, such as COVID-19 and Ebola.",,,
"Our approach to corporate responsibility is about the health, economic, social and environmental impact we have on individuals, communities and ecosystems around the world.",,,
"We hold ourselves accountable to our many stakeholders, including patients, employees, customers and shareholders, all of whom help to define our corporate responsibility priorities.",,,
"6 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesWe aspire to improve access to health by discovering, developing and providing innovative products and services that save and improve lives.",,,
"01 Access to health We recognize that our ability to excel depends on the integrity, knowledge, imagination, skill, diversity and teamwork of our employees.03 EmployeesA healthy planet is essential to human health and the sustainability of our business.02 Environmental Sustainability Through our unwavering commitment to transparency, we earn the trust and confidence of our stakeholders.",,,
"04 Ethics & ValuesWe aspire to improve access to health by discovering, developing and providing innovative products and services that save and improve lives.",,,
"Access to Health We recognize that our ability to excel depends on the integrity, knowledge, imagination, skill, diversity and teamwork of our employees.EmployeesA healthy planet is essential to human health and the sustainability of our business.Environmental Sustainability Through our unwavering commitment to transparency, we earn the trust and confidence of our stakeholders.",,,
"Ethics & ValuesReflecting our commitment to managing environmental, social and governance (ESG) issues, we continue to focus our approach to corporate responsibility in four primary areas that are of greatest relevance to our business and society.Our focus 7 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesGRI/SASB Disclosures 8 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social Indices9 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesGeneral Disclosures Organizational Profile GRI 102-1 Organization name (Core) GRI 102-2 Primary brands, products, and services (Core) GRI 102-3 Headquarters location (Core) GRI 102-4 Location of operations (Core) GRI 102-5 Ownership and legal form (Core) GRI 102-6 Markets served (Core) In the United States and Canada, we are known as Merck & Co., Inc., Kenilworth, NJ, USA.",,,
Elsewhere we are known as MSD.,,,
"We are a global health care company that delivers innovative health solutions through our prescription medicines, vaccines, biologic therapies and animal health products.",,,
"The company’s operations are principally managed on a products basis and include four operating segments, which are the Pharmaceutical, Animal Health, Healthcare Services and Alliances segments.",,,
The Pharmaceutical segment includes human health pharmaceutical and vaccine products.,,,
"Human health pharmaceutical products consist of therapeutic and preventive agents, generally sold by prescription, for the treatment of human disorders.",,,
"The company sells these human health pharmaceutical products primarily to drug wholesalers and retailers, hospitals, government agencies and managed health care providers such as health maintenance organizations, pharmacy benefit managers and other institutions.",,,
"Human health vaccine products consist of preventive pediatric, adolescent and adult vaccines, primarily administered at physician offices.",,,
"The company sells these human health vaccines primarily to physicians, wholesalers, physician distributors and government entities.",,,
"The Animal Health segment discovers, develops, manufactures and markets a wide range of veterinary pharmaceutical and vaccine products, as well as health management solutions and services, for the prevention, treatment and control of disease in all major livestock and companion animal species.",,,
"The company also offers an extensive suite of digitally connected identification, traceability and monitoring products.",,,
"The company sells its products to veterinarians, distributors and animal producers.",,,
"10 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesThe Healthcare Services segment provides services and solutions that focus on engagement, health analytics and clinical services to improve the value of care delivered to patients.",,,
The company has recently sold certain businesses in the Healthcare Services segment and is in the process of divesting the remaining businesses.,,,
"While the company continues to look for investment opportunities in this area of health care, the approach to these investments has shifted toward venture capital investments in third parties as opposed to wholly owned businesses.",,,
"The Alliances segment primarily includes activity from the company’s relationship with AstraZeneca LP related to sales of Nexium and Prilosec, which concluded in 2018.",,,
"In February 2020, we announced our intention to spin-off products from our women’s health, trusted legacy brands and biosimilars businesses into a new, independent, publicly traded company (Organon) through a distribution of Organon’s publicly traded stock to company shareholders.",,,
"Our U.S. commercial operations are headquartered in Upper Gwynedd, Pennsylvania.",,,
"The company’s U.S. pharmaceutical business is conducted through divisional headquarters located in Upper Gwynedd, Pennsylvania and Kenilworth, New Jersey.",,,
"Our vaccines business is conducted through divisional headquarters located in Upper Gwynedd, Pennsylvania.",,,
"The Animal Health headquarters is located in Madison, New Jersey.",,,
"Principal U.S. research facilities are located in Rahway and Kenilworth, New Jersey; West Point, Pennsylvania; Palo Alto, California; Boston, Massachusetts; South San Francisco, California; and Elkhorn, Nebraska (Animal Health).",,,
Principal research facilities outside the United States are located in Switzerland and China.,,,
"Our manufacturing operations are headquartered in Whitehouse Station, New Jersey.",,,
We also have production facilities for human health products at nine locations in the United States and Puerto Rico.,,,
"Outside the United States, through subsidiaries, we own or have an interest in manufacturing plants or other properties in Japan, Singapore, South Africa, and other countries in Western Europe, Central and South America, and Asia.",,,
The principal market for trading of our Common Stock is the New York Stock Exchange (NYSE) under the symbol MRK.,,,
"As of January 31, 2020, there were approximately 109,500 shareholders of record of the company’s common stock.",,,
"For more information, please see our 2019 Form 10-K on our corporate website.11 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social Indices Latin America 7.4%Japan 5.0%U.S.",,,
"35.1%Europe (Western) and Canada 29.8% Eastern Europe, Middle East and Africa 4.5% Asia-Pacific 18.3% Employees by region Workforce 2015 2016 2017 2018 2019 Number of employees as of December 31, 2019 (approximate)68,000 68,000 69,000 69,000 71,000 People reached through major programs and partnerships (estimate in millions) 1188 293 311 357 422 1 Represents investments by our Office of Social Business Innovation, including our Office of Corporate Responsibility, MSD for Mothers and our company’s Foundation.GRI 102-7 Scale of the organization (Core) GRI 102-8 Information on employees and other workers (Core) SASB 000.A Patients treated (#) As of December 31, 2019, the company had approximately 71,000 employees worldwide, with approximately 26,000 employed in the United States, including Puerto Rico.",,,
Approximately 30 percent of worldwide employees of the company are represented by various collective bargaining groups.,,,
"For more information on our global impact, please visit our Diversity & Inclusion and Social Investments pages on MSDresponsibility.com.12 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesGRI 102-9 Supply chain (Core) SASB 260a.1 Methods and technologies used to maintain traceability of products throughout the supply chain Our company manufactures, packages and distributes products to more than 140 markets around the world.",,,
"Our facilities, along with our external contractors, suppliers and partners, make up an integrated, interdependent global manufacturing network that is committed to delivering compliant, reliable supply to customers and patients on time, all the time, and every time.",,,
"Our business goal is to achieve world-class supply in delivery, services and quality.",,,
"We source from suppliers globally in the areas of capital equipment and services, direct materials and services, energy, professional services, site and commercial services, IT, marketing and research supplies and services.",,,
We continue to support the Pharmaceutical Industry Principles for Responsible Supply Chain Management (the Principles).,,,
"The Principles outline industry expectations for external manufacturers and licensees with regard to labor, health, safety, environment, ethics and management systems.",,,
The external manufacturers with which we contract are expected to understand and align with the Principles.,,,
"Furthermore, we are a signatory to the 10 Principles of the United Nations Global Compact .The Global Sourcing & Procurement and Supplier Management function is responsible for maintaining the standards by which suppliers are identified, qualified and managed.",,,
"Supplier selection and management follow a robust sourcing management process, in which environmental sustainability, economic inclusion and supplier diversity principles are integrated throughout each stage.",,,
"Throughout the supplier life cycle, our company establishes expectations, assesses risk, supports supplier development and manages performance.Our company’s Processes Operations and Strategy (PO&S) Sustainable Sourcing Team is responsible for managing our Environmental Sustainable Sourcing program.",,,
"Utilizing a standardized survey template generated and maintained by the Pharmaceutical Supply Chain Initiative (PSCI), we collect information including but not limited to: greenhouse gas, energy, water, supplier sustainability programs and goals.",,,
"Goals Progress Indicator By 2018, we will collect greenhouse gas (GHG) emissions and water use data from at least 90 percent of our strategic suppliers with the highest environmental impact.GHG and water data collected from 96% of high-impact strategic suppliersAchieved By 2020, we will engage with those suppliers and request them to identify GHG emission and water use reduction opportunities.On track On track By 2025, at least 90 percent of our strategic suppliers with the highest environmental impacts will set their own GHG emission and water use reduction targets.On track On track13 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesWe believe in developing mutually beneficial relationships with our business partners, founded on trust and respect.We conduct business with integrity; we comply with all applicable laws, rules and regulations of the countries in which we operate.We seek to have a positive impact on the lives of our employees, their families and the communities in which we operate along with our suppliers in support of our customers.We expect companies in our business partner network to do the same.Our analysis shows that a large portion of our water use and GHG emissions are generated upstream of our own operations in various tiers of our supply chain.",,,
"We realize that in order to make a truly meaningful reduction in our overall environmental impact, we must engage with our suppliers to drive positive change.",,,
We have a focus on collaborating with our suppliers to accelerate and enhance environmental initiatives.,,,
Programs and initiatives We have also initiated a new program designed to evaluate our suppliers’ environmental sustainability programs.,,,
"The GREEN Supplier program requests that selected suppliers provide environmental metrics, environmental certificates and assurance that they can meet our GREEN Supplier requirements.",,,
Suppliers that are able to complete these three items in the associated database are certified as GREEN.,,,
Our company’s Economic Inclusion Leadership Council (EILC) is comprised of leaders across the Global Supplier Management and Global Workforce & Enterprise Services who are passionate about making our company the very best it can be.,,,
"The role of the EILC members is to serve as peer-coaches and role models, each having made significant strides in managing supplier diversity to yield business results across their teams and the enterprise.",,,
"Supplier and third-party risk management Supplier and third-party risk management is an enterprise-wide effort supported by Global Sourcing & Procurement, Supplier Management, the Office of General Counsel, Ethics & Compliance, Global Quality, Corporate Audit and Assurance, and Environmental Health & Safety.",,,
"Representatives from each function meet regularly to discuss, assess and manage issues on a risk-driven basis.Our Business Partner Code of Conduct , along with our company’s Supplier Performance Expectations, are communicated to existing and potential third-party suppliers and are included in requests for information, proposals and quotes as well as in our purchase- order terms and conditions.",,,
"We select suppliers that share our commitment to our values and principles, as defined in our Business Partner Code of Conduct and Supplier Expectations Letter.",,,
"In addition, we participate in the Pharmaceutical Supply Chain Initiative’s Pharmaceutical Industry Principles and are a signatory to the 10 Principles of the United Nations Global Compact.",,,
"We have a defined risk-management process, and our supply base is measured against the process criteria.",,,
"Using a risk-based approach, supplier assessments and audits are conducted based on multiple factors (e.g., risk profile, engagement and activity type and geography).",,,
"The assessments and audits evaluate a supplier’s ability to meet both industry and our own standards for quality, safety and ethical business practices.",,,
"Results are reviewed with senior management across the company.Our supplier assessments include: • L abor and human rights • A nti-bribery and anticorruption • P rivacy and data protection • E nvironmental, health and safety issues • Quality • R esponsible sourcing of minerals • A nimal welfare • I nformation technology • I ntellectual property • F inancial solvency • C yber resiliency Where assessments and audits identify deficiencies or opportunities for improvement, we monitor suppliers to ensure that our concerns are addressed in a responsible and compliant manner.",,,
"As part of our oversight and monitoring, we have established mechanisms to report, track and monitor supplier plans to address nonconformance and help drive continued improvement.14 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesOur SAQ requires suppliers to answer a series of labor and human rights questions covering a range of subjects, including freely chosen employment, child labor, employment practices, employee disclosures, fair treatment, wages, benefits and working hours.",,,
Each supplier’s responses are used to judge whether that supplier has programs and/or procedures in place to address potential risks for labor and human rights related deficiencies.,,,
"Since implementing the Labor and Human Rights program in 2015, we have conducted 234 onsite audits in countries identified as high risk for potential human rights violations.",,,
We track audit-related corrective and preventative actions to completion.,,,
No incidents of child labor and/or young workers exposed to hazardous work were reported.,,,
"Additionally, we maintain a “Speak Up” tool (MSDethics.com ) for any employee, supplier or business partner to report concerns, including those related to labor and human rights issues.",,,
Managing external manufacturers of our products The company maintains strict quality standards — no matter where in the world our products are manufactured.,,,
"Once we have decided to engage with an external manufacturer, that manufacturer is required to comply with our business requirements which are set forth in our contract with that supplier, regardless of geography.",,,
"Prospective external manufacturers of active pharmaceutical ingredients and finished products are screened for environmental, health and safety (EHS) compliance, in addition to quality and supply and technical competence requirements.",,,
"The EHS screening includes a survey covering such topics as regulatory compliance, fatalities and major incidents.Based on the screening results and activities undertaken by the supplier, certain external manufacturers are subject to a more detailed onsite assessment conducted by a multidisciplinary team, which may include our company’s Quality, Environmental, Health & Safety, Global Technical Operations and Global Sourcing & Procurement representatives.",,,
The external manufacturers we contract with are periodically reassessed using a risk-based approach; higher-risk external manufacturers are subject to more frequent onsite assessments.,,,
"We expect that observations made during the audit process will be remediated by our external manufacturers, and we monitor and track corrective actions through completion.",,,
"For more information on our supply chain, please visit our Manufacturing & Supply , Quality & Safety Standards , Vaccines , Oncology , Women’s Health , and Sourcing & Supplier Relations pages on MSDresponsibility.com.",,,
"GRI 102-10 Organizational changes during the reporting period (Core) While no significant organizational changes occurred in 2019, in February 2020, we announced our intention to spin-off products from our women’s health, trusted legacy brands and biosimilars businesses into an independent, publicly traded company.",,,
The transaction is expected to be completed in the first half of 2021.,,,
GRI 102-11 Precautionary principle (Core) We take a precautionary approach when evaluating potential human exposures and environmental impacts resulting from our manufacturing processes.,,,
"Conservative assumptions are made when data are limited, and safety factors are added to address uncertainty and variability in our assessments.Protecting the privacy of personal information Some of our suppliers and service providers, such as contract research organizations, market research agencies, information technology systems developers and other service providers, process personal information in connection with their performance of services for our company.",,,
"We require these suppliers and service providers to provide appropriate privacy protection for personal information that they handle in accordance with our privacy policies and applicable privacy laws, regulations and guidelines.",,,
Protecting against cyberattacks and assuring business continuity We recognize that cybersecurity events at third parties pose an increased risk to our business continuity.,,,
"In 2019, our company built a cyber resiliency supplier risk management program, including a Center of Excellence for Governance, assessments of key suppliers, and collaborative workshops, to review risks and remediation actions.",,,
The program fosters mutually beneficial partnerships with our top suppliers.,,,
We continue to enhance the program to improve operational excellence and continuous monitoring capabilities.,,,
Supplier assessment for labor practices and human rights We have a formal program to evaluate the risks for labor and human rights in our supply chain.,,,
"Prior to contracting, all new direct suppliers (as well as certain new indirect and research suppliers in specific geographies) are required to complete and return a Supplier Self-Assessment Questionnaire (SAQ) for Ethics & Compliance.",,,
"Pre-existing external manufacturing suppliers and contract manufacturing organizations also complete SAQs.15 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesThis type of approach is particularly relevant to our work in toxicology, industrial hygiene and environmental protection.",,,
"By using more efficient and innovative processing methods and technologies, we are reducing the amount of energy, water and raw materials we use to make our products, thereby minimizing the amount of waste we generate and lowering our production costs.",,,
"We go to great lengths to ensure that our products are designed, made and used in a safe, effective and environmentally sound manner.",,,
We deliver on this commitment by maintaining a highly trained and capable scientific staff and by actively pursuing manufacturing process improvements that minimize environmental impacts.,,,
We have set environmental sustainability goals to demonstrate this commitment with concrete targets and timelines.,,,
"To ensure that our knowledge stays current with that of thought leaders and experts in the industry, we also collaborate with external resources and industry groups, such as the American Chemical Society and the European Federation of Pharmaceutical Industries and Associations.",,,
"For more information, please visit our Product Stewardship section on MSDresponsibility.com.",,,
"GRI 102-12 External initiatives (Core) Though not an exhaustive list, below are examples of third-party principles and initiatives we have endorsed.",,,
"Water We have endorsed the UN CEO Water Mandate , a public commitment to adopt and implement a comprehensive approach to water management, and we have aligned our water program with its principles.",,,
"CEO Water Mandate endorsers have a responsibility to make water-resource management a priority and to work with governments, UN agencies, nongovernmental organizations, local communities and other interested parties to address global water challenges.",,,
We are working to identify partnerships that will help us advance our water stewardship priorities in the areas in which we operate.,,,
"These projects also support the goals of SDG 15, which strives to “protect, restore and promote sustainable use of terrestrial ecosystems.” Human rights Our company believes in the dignity of every human being and recognizes the international human rights principles embodied in the United Nations Global Compact and as defined in the United Nations Universal Declaration of Human Rights and its subsequent changes, the International Covenant on Economic, Social and Cultural Rights, the International Covenant on Civil and Political Rights, the Organization for Economic Cooperation and Development Guidelines for Multinational Enterprises and the core labor standards set out by the International Labor Organization.",,,
"Supply chain Our human rights practices are informed and guided by the Pharmaceutical Supply Chain Initiative’s (PSCI’s) Pharmaceutical Industry Principles for Responsible Supply Chain Management which set the standard for ethics, labor, health, safety and the environment for our industry.",,,
"Diversity In 2009, we signed onto the United Nations Women’s Empowerment Principles.",,,
"These principles reflect seven areas of focus designed to promote gender equality in business.Clinical research In accordance with our public policy position statement, all investigational studies in human subjects are conducted in a manner consistent with laws, regulations and guidelines for the protection of human subjects, including those issued by the International Council for Harmonisation Good Clinical Practice (ICH GCP).",,,
Animal health We encourage proactive vaccination of animals to prevent disease and support the responsible use of antibiotics to treat and improve the health of animals.,,,
"As a global animal health company, we support the Antibiotic Commitment established by the animal health industry.",,,
"Privacy We are a member of the International Pharmaceutical Privacy Consortium (IPPC) , an association of research- based pharmaceutical companies formed in 2002 that has worldwide responsibility for the protection of personal health information and other types of personal data.",,,
"We have been actively involved in the IPPC since 2006, in order to engage in a constructive dialogue with European data-protection authorities and other regulators on privacy standards for biomedical research.",,,
"For more information, please visit our Reporting Overview , Addressing Barriers to Health , Water , Global Diversity & Inclusion , Direct-to-Consumer Advertising , Engaging with Health Care Professionals , Sales & Marketing Practices , Sourcing & Supplier Relations , Ensuring Ethical Business Practices , and Human Rights pages on MSDresponsibility.com.16 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesGRI 102-13 Membership associations (Core) Our company is a member of numerous industry and trade groups.",,,
"We work with these groups because they represent the pharmaceutical industry and business community in debates led by governments and other stakeholders, and because they help the industry reach consensus on policy issues.",,,
"Our top three trade associations in 2019: • Pharmaceutical Research and Manufacturers of America (PhRMA) • U.S. Chamber of Commerce • Biotechnology Industry Organization (BIO) When our trade associations actively lobby on our core business issues, we seek to align their positions with our own.",,,
"There are times, however, when we may not share the views of our peers or associations — both on issues that are central to our business and on those that, while important, are not directly material to our mission.",,,
"With representatives on the boards and committees of industry groups and trade associations, we can voice questions or concerns we may have about policy or related activities.",,,
We may even recuse ourselves from related trade association or industry group activities when appropriate.,,,
"The Corporate Secretary sends an annual report to our company’s Board of Directors on trade association dues greater than $25,000 that were spent in the previous year on lobbying and political activity in the U.S.",,,
The Governance Committee of the Board of Directors has ongoing oversight of the company’s membership in trade associations and grassroots lobbying activities.,,,
"For a list of industry and trade groups of which we are a member, and our trade association dues (those greater than $25,000) that are used for political purposes, please refer to our corporate website.",,,
"For more information, please visit our Public Policy page on MSDresponsibility.com.Through our top three trade associations (listed on left), we engaged on the following policy issues in 2019: In the U.S., the top issues at the federal level for which our company lobbied were: • Medicare Part B • Medicare Part D • International Reference Pricing • Medicaid Average Manufacturer Price (AMP) cap In the U.S., our company lobbied at the state level to address these key issues: • Market-based solutions for access to innovative pharmaceutical, vaccine, biologic and animal health products • Meaningful price transparency • A strong business environment for U.S. operations in the states • Support for a strong immunization infrastructure • Product stewardship/take-back of unused medicines In Europe, our advocacy focused on: • Addressing the European Commission’s review of incentives for biopharmaceutical products • Fostering frameworks for sound pricing and procurement regimes in and across diverse EU member state economies • Supporting government vaccination, hepatitis and diabetes programs • Advancing the dialogue for sustainable models to fund future cancer care • Improving standards for health technology assessment and health literacy • Ensuring science-based policies for biological medicinesStrategy GRI 102-14 CEO letter (Core) Please see the letter from our Chairman and CEO on page 4 .",,,
"Ethics & Integrity GRI 102-16 Values, principles, standards, and norms of behavior (Core) GRI 102-17 Mechanisms for advice and concerns about ethics SASB 510a.2 Code of ethics governing interactions with health care professionals Our company’s Office of Ethics is responsible for ensuring that employees are aware of and trained on the Code of Conduct and company policies.",,,
The Office of Ethics serves as a channel for the receipt and investigation of ethics and compliance-related concerns.,,,
"Employees are encouraged to raise their concerns to their management, Human Resources, Compliance, Legal or the Office of Ethics.",,,
"Throughout 2018 and 2019, the Office of Ethics enhanced its global ethics program including the implementation of an improved reporting tool operated by an independent third party, named Speak Up at MSDethics.com .",,,
Speak Up at MSDethics.com (formerly theadviceline.com) is available 24/7 and allows employees and suppliers to raise concerns or ask questions confidentially (where permitted by law) in their preferred language via phone or internet.,,,
"In alignment with our priority to protect and enhance our company’s reputation through safe, ethical and compliant behaviors, the Office of Ethics added three Regional Ethics Officers to their team and established a network of site-based volunteer Ethics Ambassadors outside of the United States.17 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesFor more information on our approach to ethics, please visit our Code of Conduct and Office of Ethics pages on MSDresponsibility.com.",,,
"Governance GRI 102-18 Governance structure of the organization (Core) GRI 102-19 Delegation of responsibility GRI 102-20 High-level accountability for sustainability topics GRI 102-21 Access to the board GRI 102-22 Composition of the board and its committees GRI 102-23 Chair of the highest governance body Kenneth C. Frazier, our company’s chairman of the Board and chief executive officer, is the only company executive serving on the Board.",,,
The primary mission of our Board is to represent and protect the long-term interests of our company’s shareholders.,,,
"The Board meets, at minimum, six times per year to provide strategic direction and to review our progress on a wide variety of measures.",,,
"In overseeing the affairs of the company, including our governance, the Board has established four committees, each of which is composed solely of independent directors.",,,
"The four committees are: • Audit • Compensation and Benefits • Governance • ResearchAll of our standing committees are governed by Board-approved charters, which are available on our corporate website.",,,
"Information on our company’s board committees can be found in our company’s 2020 Proxy Statement (pages 15, 20–21).",,,
Six independent directors constitute our company’s Governance Committee.,,,
"Chaired by Leslie A. Brun, the company’s lead independent director, the committee is responsible for advising the company’s Board of Directors and management on company policies and practices that pertain to the company’s responsibilities as a global corporate citizen, its special obligations as a health care company whose products and services affect health and quality of life around the world, and its commitment to the highest standards of ethics and integrity in all of its dealings.",,,
The Governance Committee has responsibility for overseeing the company’s corporate responsibility and public policy issues.,,,
Additional information on the Governance Committee’s responsibilities can be found in our company’s 2020 Proxy Statement (page 21) or in its committee charter available on the Corporate Governance page on MSDresponsibility.com.,,,
"In addition to the Governance Committee, other Board committees oversee issues indirectly related to corporate responsibility, such as audit and compliance, executive compensation and research.The Office of Corporate Responsibility The Office of Corporate Responsibility is responsible for raising the visibility of corporate responsibility issues and activities across the company and fosters connections across business units and functional areas to integrate our corporate responsibility principles into business policies, strategies and practices, including the enterprise risk management (ERM) process, and brings the voice of external stakeholders into decision- making processes.",,,
