,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 11,"All of these issues have resulted in a collision of food shortages, supply chain bottlenecks, and a refugee crisis unlike anything Europe has seen since World War II.","('Supply_Chain_Management', 0.8738681077957153)","('Systemic_Risk_Management', 0.0214998796582222)","('Physical_Impacts_Of_Climate_Change', 0.012114864774048328)","(['Supply Chain Management'], 0.8738681077957153)","('NON-ESG', 0.0214998796582222)","('NON-ESG', 0.012114864774048328)"
Line 12,"In this context, we have been thinking hard about what it means to be a truly sustainable company, one that creates growth and value for all of our stakeholders.","('Business_Model_Resilience', 0.6662750840187073)","('Product_Design_And_Lifecycle_Management', 0.07606437057256699)","('Human_Rights_And_Community_Relations', 0.027001747861504555)","(['Human Capital Development', 'Innovation Management'], 0.6662750840187073)","('NON-ESG', 0.07606437057256699)","('NON-ESG', 0.027001747861504555)"
Line 13,"We know that to be successful five years, 10 years, 20 years from now, we need to create more resilience in our business.","('Business_Model_Resilience', 0.8943210244178772)","('Physical_Impacts_Of_Climate_Change', 0.01715070940554142)","('Product_Design_And_Lifecycle_Management', 0.01122511550784111)","(['Human Capital Development', 'Innovation Management'], 0.8943210244178772)","('NON-ESG', 0.01715070940554142)","('NON-ESG', 0.01122511550784111)"
Line 14,And that means we need to change what we do and how we do it.,"('Management_Of_Legal_And_Regulatory_Framework', 0.23305806517601013)","('Business_Model_Resilience', 0.15692728757858276)","('Human_Rights_And_Community_Relations', 0.105089470744133)","('NON-ESG', 0.23305806517601013)","('NON-ESG', 0.15692728757858276)","('NON-ESG', 0.105089470744133)"
Line 15,"In September 2021 we launched a strategic, end-to-end transformation of our business.","('Business_Model_Resilience', 0.7648787498474121)","('Product_Design_And_Lifecycle_Management', 0.03684026747941971)","('Supply_Chain_Management', 0.027001019567251205)","(['Human Capital Development', 'Innovation Management'], 0.7648787498474121)","('NON-ESG', 0.03684026747941971)","('NON-ESG', 0.027001019567251205)"
Line 16,"We put sustainability and human capital at the center of how we will create growth and value, by operating within planetary boundaries and inspiring positive change for the planet and people.","('Business_Model_Resilience', 0.732087254524231)","('Systemic_Risk_Management', 0.0403992123901844)","('Product_Design_And_Lifecycle_Management', 0.028549840673804283)","(['Human Capital Development', 'Innovation Management'], 0.732087254524231)","('NON-ESG', 0.0403992123901844)","('NON-ESG', 0.028549840673804283)"
Line 17,"We call this approach PepsiCo Positive (pep+), reflecting a new reality where consumers, customers, our associates, investors, regulators, and many other stakeholders are becoming more interested in the future of the planet and society.","('Management_Of_Legal_And_Regulatory_Framework', 0.2800179421901703)","('Business_Model_Resilience', 0.14470045268535614)","('Product_Design_And_Lifecycle_Management', 0.13149261474609375)","('NON-ESG', 0.2800179421901703)","('NON-ESG', 0.14470045268535614)","('NON-ESG', 0.13149261474609375)"
Line 18,"From sourcing ingredients to making and selling our products more sustainably, pep+ connects the future of our business with the future of our planet.","('Selling_Practices_And_Product_Labeling', 0.7550563812255859)","('Product_Design_And_Lifecycle_Management', 0.08021614700555801)","('Customer_Welfare', 0.06664744019508362)","(['Packaging'], 0.7550563812255859)","('NON-ESG', 0.08021614700555801)","('NON-ESG', 0.06664744019508362)"
Line 19,The launch of pep+ is a turning point for PepsiCo.,"('Customer_Welfare', 0.18148913979530334)","('Competitive_Behavior', 0.15263551473617554)","('Product_Design_And_Lifecycle_Management', 0.12539856135845184)","('NON-ESG', 0.18148913979530334)","('NON-ESG', 0.15263551473617554)","('NON-ESG', 0.12539856135845184)"
Line 20,"We have an opportunity to use our scale with oper ations in more than 200countries and territories, more than 25crops sourced from approximately 7million acres in more than 30different countries, and more than one billion interactions with consumers each day t o help build a more sustainable food system.","('Product_Design_And_Lifecycle_Management', 0.42337071895599365)","('Customer_Welfare', 0.3292543590068817)","('Selling_Practices_And_Product_Labeling', 0.0602944977581501)","('NON-ESG', 0.42337071895599365)","('NON-ESG', 0.3292543590068817)","('NON-ESG', 0.0602944977581501)"
Line 21,"By advancing our pep+ goals, we believe we will be a consistent top market performer and a force for good by doing whats right for people and the planet.","('Human_Rights_And_Community_Relations', 0.5838978290557861)","('Business_Model_Resilience', 0.08198259025812149)","('Employee_Engagement_Inclusion_And_Diversity', 0.02829228714108467)","([], 0.5838978290557861)","('NON-ESG', 0.08198259025812149)","('NON-ESG', 0.02829228714108467)"
Line 22,"By becoming better ourselves, we not only meet the needs of our stakeholders but position ourselves for long-term growth.","('Business_Model_Resilience', 0.5300424695014954)","('Product_Design_And_Lifecycle_Management', 0.08702312409877777)","('Human_Rights_And_Community_Relations', 0.04886024072766304)","(['Human Capital Development', 'Innovation Management'], 0.5300424695014954)","('NON-ESG', 0.08702312409877777)","('NON-ESG', 0.04886024072766304)"
Line 23,"We can help define for the world what it means to be a truly sustainable company, and build a stronger, more resilient future for us all.","('Business_Model_Resilience', 0.889468789100647)","('Physical_Impacts_Of_Climate_Change', 0.017086919397115707)","('Product_Design_And_Lifecycle_Management', 0.013846988789737225)","(['Human Capital Development', 'Innovation Management'], 0.889468789100647)","('NON-ESG', 0.017086919397115707)","('NON-ESG', 0.013846988789737225)"
Line 24,PepsiCo remains committed to taking a leadership role in the creation of a more sustainable food system that preserves the planet and positively impacts people and communities across the world.,"('Human_Rights_And_Community_Relations', 0.246871218085289)","('Product_Design_And_Lifecycle_Management', 0.1667904257774353)","('Access_And_Affordability', 0.15358136594295502)","('NON-ESG', 0.246871218085289)","('NON-ESG', 0.1667904257774353)","('NON-ESG', 0.15358136594295502)"
Line 25,"With the ongoing volatility around the globe, our pep+ agenda continues to be the right path for our planet and our business.","('Systemic_Risk_Management', 0.774992048740387)","('Business_Model_Resilience', 0.04114428907632828)","('Competitive_Behavior', 0.03681455925107002)","([], 0.774992048740387)","('NON-ESG', 0.04114428907632828)","('NON-ESG', 0.03681455925107002)"
Line 26,Jim Andrew Chief Sustainability OfficerCSO MESSAGE The investments we have made in pep+ aim to ensure the sustainability of our business and the hundreds of thousands of jobs we support across our global supply chains c reating growth and value within planetary boundaries while inspiring positive change for people and the planet.,"('Supply_Chain_Management', 0.9263010025024414)","('Product_Design_And_Lifecycle_Management', 0.01589866913855076)","('Business_Model_Resilience', 0.005470857489854097)","(['Supply Chain Management'], 0.9263010025024414)","('NON-ESG', 0.01589866913855076)","('NON-ESG', 0.005470857489854097)"
Line 27,"Hugh Johnston Vice Chairman and Chief Financial OfficerCFO MESSAGERAMON LAGUARTA, PepsiCo Chairman of the Board of Directors and Chief Executive OfficerMessage From Our CEORead the full letter and the PepsiCo 2021 ESG Summary here >> 1 PepsiCo 2021 ESG Summary OverviewAcross our value chain, PepsiCo is using our global reach and expertise to drive solutions at scale.","('Business_Model_Resilience', 0.7296198010444641)","('Supply_Chain_Management', 0.04283095523715019)","('Systemic_Risk_Management', 0.04131368547677994)","(['Human Capital Development', 'Innovation Management'], 0.7296198010444641)","('NON-ESG', 0.04283095523715019)","('NON-ESG', 0.04131368547677994)"
Line 28,"PepsiCos sustainability strategy targets every stage of our complex value chain to use resources more efficiently, reduce greenhouse gas (GHG) emissions, replenish water, improve our products and recapture packaging materials.","('GHG_Emissions', 0.36416009068489075)","('Product_Design_And_Lifecycle_Management', 0.3337957561016083)","('Supply_Chain_Management', 0.04820813983678818)","('NON-ESG', 0.36416009068489075)","('NON-ESG', 0.3337957561016083)","('NON-ESG', 0.04820813983678818)"
Line 29,Investments in our circular and inclusive value chain will help accelerate the systemic change needed to address major global challenges.,"('Systemic_Risk_Management', 0.9602781534194946)","('Business_Model_Resilience', 0.005960205569863319)","('Physical_Impacts_Of_Climate_Change', 0.004756465088576078)","([], 0.9602781534194946)","('NON-ESG', 0.005960205569863319)","('NON-ESG', 0.004756465088576078)"
Line 30,"12 3 4 5Agricultural Sourcing PepsiCo sources crops from more than 30 countries and supports more than 100,000 jobs throughout our agricultural supply chain.","('Supply_Chain_Management', 0.9399703145027161)","('Product_Design_And_Lifecycle_Management', 0.006705272942781448)","('Water_And_Wastewater_Management', 0.00411031860858202)","(['Supply Chain Management'], 0.9399703145027161)","('NON-ESG', 0.006705272942781448)","('NON-ESG', 0.00411031860858202)"
Line 31,"The standards we apply and promote can help improve the environmental, social and economic health of agricultural communities around the world.","('Human_Rights_And_Community_Relations', 0.9353950619697571)","('Management_Of_Legal_And_Regulatory_Framework', 0.007949215359985828)","('Ecological_Impacts', 0.006541029550135136)","([], 0.9353950619697571)","('NON-ESG', 0.007949215359985828)","('NON-ESG', 0.006541029550135136)"
Line 32,Distribution PepsiCo products are sold in over 200 countries and territories.,"('Product_Design_And_Lifecycle_Management', 0.36522209644317627)","('Selling_Practices_And_Product_Labeling', 0.23244686424732208)","('Customer_Welfare', 0.207558274269104)","('NON-ESG', 0.36522209644317627)","('NON-ESG', 0.23244686424732208)","('NON-ESG', 0.207558274269104)"
Line 33,"In 2021, our company-owned fleet traveled approximately 1.2billion miles worldwide to bring PepsiCo products to customers.","('Product_Design_And_Lifecycle_Management', 0.8083083629608154)","('Customer_Welfare', 0.05094989016652107)","('Selling_Practices_And_Product_Labeling', 0.04677747189998627)","(['Packaging'], 0.8083083629608154)","('NON-ESG', 0.05094989016652107)","('NON-ESG', 0.04677747189998627)"
Line 34,We are working to reduce the impact of those miles by continuing to adopt more efficient vehicles and practices.,"('Energy_Management', 0.7458683252334595)","('Product_Design_And_Lifecycle_Management', 0.06345133483409882)","('Management_Of_Legal_And_Regulatory_Framework', 0.03018854558467865)","([], 0.7458683252334595)","('NON-ESG', 0.06345133483409882)","('NON-ESG', 0.03018854558467865)"
Line 35,Consumption PepsiCo products are enjoyed by consumers more than 1billion times a day.,"('Customer_Welfare', 0.36878350377082825)","('Product_Design_And_Lifecycle_Management', 0.2340564727783203)","('Selling_Practices_And_Product_Labeling', 0.20393525063991547)","('NON-ESG', 0.36878350377082825)","('NON-ESG', 0.2340564727783203)","('NON-ESG', 0.20393525063991547)"
Line 36,"Were responding to changing consumer preferences by transforming our product portfolio and reformulating many of our beverages and convenient foods to reduce added sugars, sodium and saturated fat.","('Customer_Welfare', 0.5981742143630981)","('Product_Design_And_Lifecycle_Management', 0.13074767589569092)","('Selling_Practices_And_Product_Labeling', 0.12720142304897308)","([], 0.5981742143630981)","('NON-ESG', 0.13074767589569092)","('NON-ESG', 0.12720142304897308)"
Line 37,R&D and Manufacturing We spent >$750 million on R&D in 2021 as part of our continued investment in developing quality and innovative beverages and convenient foods.,"('Product_Design_And_Lifecycle_Management', 0.6495895981788635)","('Customer_Welfare', 0.17104807496070862)","('Selling_Practices_And_Product_Labeling', 0.03776727616786957)","(['Packaging'], 0.6495895981788635)","('NON-ESG', 0.17104807496070862)","('NON-ESG', 0.03776727616786957)"
Line 38,"Our 294 manufacturing facilities bring together innovators and operations teams who work to use water, energy and ingredients efficiently to create our beverages and convenient foods.","('Selling_Practices_And_Product_Labeling', 0.6663401126861572)","('Customer_Welfare', 0.17604683339595795)","('Product_Design_And_Lifecycle_Management', 0.05028613284230232)","(['Packaging'], 0.6663401126861572)","('NON-ESG', 0.17604683339595795)","('NON-ESG', 0.05028613284230232)"
Line 39,"In 2021, we produced more than 90million metric tons of beverages and convenient foods.","('Customer_Welfare', 0.2893904447555542)","('Product_Design_And_Lifecycle_Management', 0.2887754440307617)","('Energy_Management', 0.113557830452919)","('NON-ESG', 0.2893904447555542)","('NON-ESG', 0.2887754440307617)","('NON-ESG', 0.113557830452919)"
Line 40,Post-Consumer PepsiCos sustainable packaging vision is to help build a world where packaging never becomes waste by driving the shift from a linear economy to a circular economy.,"('Waste_And_Hazardous_Materials_Management', 0.452604204416275)","('Product_Design_And_Lifecycle_Management', 0.406286358833313)","('Supply_Chain_Management', 0.014082597568631172)","('NON-ESG', 0.452604204416275)","('NON-ESG', 0.406286358833313)","('NON-ESG', 0.014082597568631172)"
Line 41,"We continue to grow our portfolio of Beyond the Bottle offerings, innovate to develop sustainable packaging and work to improve recycling infrastructure.1 2 3 4 5300K+ employees 200+ countries and territories where our products are sold1B+ times each day PepsiCo products are enjoyed around the world $79B+ net revenue in 2021Scale and Reach Across Our Value Chain 2 PepsiCo 2021 ESG Summary OverviewWere charting a new course to drive positive action for the planet and people.","('Product_Design_And_Lifecycle_Management', 0.9463028907775879)","('Customer_Welfare', 0.008343872614204884)","('Selling_Practices_And_Product_Labeling', 0.007045281119644642)","(['Packaging'], 0.9463028907775879)","('NON-ESG', 0.008343872614204884)","('NON-ESG', 0.007045281119644642)"
Line 42,"Were evolving how we source our ingredients and make and sell our products, and how we inspire people through our brands.","('Selling_Practices_And_Product_Labeling', 0.8860273361206055)","('Customer_Welfare', 0.03439939767122269)","('Product_Design_And_Lifecycle_Management', 0.015791475772857666)","(['Packaging'], 0.8860273361206055)","('NON-ESG', 0.03439939767122269)","('NON-ESG', 0.015791475772857666)"
Line 43,pep+ has three pillars: Positive Agriculture Positive Value Chain Positive ChoicesPositive Agriculture Were working to source our crops and ingredients in ways that restore the earth and strengthen farming communities.,"('Selling_Practices_And_Product_Labeling', 0.3736843764781952)","('Customer_Welfare', 0.31815406680107117)","('Product_Design_And_Lifecycle_Management', 0.12973886728286743)","('NON-ESG', 0.3736843764781952)","('NON-ESG', 0.31815406680107117)","('NON-ESG', 0.12973886728286743)"
Line 44,"Agriculture Were supporting regenerative agricultural practices that aim to make soil healthier, sequester carbon, improve watershed health and biodiversity, and strengthen farmer livelihoods.","('Ecological_Impacts', 0.9731801152229309)","('GHG_Emissions', 0.0030128569342195988)","('Human_Rights_And_Community_Relations', 0.0024187592789530754)","([], 0.9731801152229309)","('NON-ESG', 0.0030128569342195988)","('NON-ESG', 0.0024187592789530754)"
Line 45,Were working closely with our farmers and intermediary suppliers to embed these practices throughout our agricultural supply chain.,"('Supply_Chain_Management', 0.9493222236633301)","('Labor_Practices', 0.0052162278443574905)","('Water_And_Wastewater_Management', 0.0036286318209022284)","(['Supply Chain Management'], 0.9493222236633301)","('NON-ESG', 0.0052162278443574905)","('NON-ESG', 0.0036286318209022284)"
Line 46,"In 2021: We spread regenerative agriculture practices to more than 345,000 acres, toward our goal of7million acres by 2030.","('Ecological_Impacts', 0.7310780882835388)","('GHG_Emissions', 0.03862340375781059)","('Business_Model_Resilience', 0.028415512293577194)","([], 0.7310780882835388)","('NON-ESG', 0.03862340375781059)","('NON-ESG', 0.028415512293577194)"
Line 47,"Globally, more than 90% of our grower-sourcedcrops were sustainably sourced through ourSustainable Farming Program.","('Supply_Chain_Management', 0.6063320636749268)","('Customer_Welfare', 0.08170276135206223)","('Product_Design_And_Lifecycle_Management', 0.04801378399133682)","(['Supply Chain Management'], 0.6063320636749268)","('NON-ESG', 0.08170276135206223)","('NON-ESG', 0.04801378399133682)"
Line 48,"We continued working with USAID on a 5-year,$20million partnership to support women- owned and women-led enterprises.","('Human_Rights_And_Community_Relations', 0.2653723657131195)","('Access_And_Affordability', 0.24133452773094177)","('Labor_Practices', 0.18323026597499847)","('NON-ESG', 0.2653723657131195)","('NON-ESG', 0.24133452773094177)","('NON-ESG', 0.18323026597499847)"
Line 49,We committed $5 million to reduce greenhousegas emissions in agriculture through AgMission.,"('GHG_Emissions', 0.9656016230583191)","('Air_Quality', 0.005421482492238283)","('Ecological_Impacts', 0.003969233948737383)","([], 0.9656016230583191)","('NON-ESG', 0.005421482492238283)","('NON-ESG', 0.003969233948737383)"
Line 50,"As of 2020, we reached 14% of our 2025 goal toimprove water-use efficiency by 15% (versus a 2015baseline), in high water-risk watersheds where wedirectly source our crops.","('Water_And_Wastewater_Management', 0.9757424592971802)","('GHG_Emissions', 0.002875307109206915)","('Energy_Management', 0.002542258705943823)","(['Water Related Risks'], 0.9757424592971802)","('NON-ESG', 0.002875307109206915)","('NON-ESG', 0.002542258705943823)"
Line 51,For more details see ESG Topics A-Z: Agriculturepep+ 3 PepsiCo 2021 ESG Summary OverviewPositive Value Chain Were helping build a circular and inclusive value chain.,"('Business_Model_Resilience', 0.6474214792251587)","('Systemic_Risk_Management', 0.13431209325790405)","('Supply_Chain_Management', 0.05585364252328873)","(['Human Capital Development', 'Innovation Management'], 0.6474214792251587)","('NON-ESG', 0.13431209325790405)","('NON-ESG', 0.05585364252328873)"
Line 52,"Climate Achieve net-zero emissions across our value chain by 2040; by 2030, reduce our GHG emissions by more than 40% (versus a 2015 baseline), doubling our prior climate goal: We are investing in zero- and near-zero emission delivery vehicles for our company-owned fleets and partnering with others to support decarbonization of the broader transport industry and improving energy-use efficiency and working to scale renewable fuel solutions at our manufacturing facilities.","('GHG_Emissions', 0.9196752309799194)","('Air_Quality', 0.032746005803346634)","('Energy_Management', 0.008522997610270977)","([], 0.9196752309799194)","('NON-ESG', 0.032746005803346634)","('NON-ESG', 0.008522997610270977)"
Line 53,"In 2021, we reduced our Scope 1 and Scope 2 GHG emissions by 25% versus a 2015 baseline.","('GHG_Emissions', 0.9668051600456238)","('Air_Quality', 0.004296092316508293)","('Ecological_Impacts', 0.0031568584963679314)","([], 0.9668051600456238)","('NON-ESG', 0.004296092316508293)","('NON-ESG', 0.0031568584963679314)"
Line 54,"In 2021, Scope 3 emissions increased by 5% (versus a 2015 baseline).","('GHG_Emissions', 0.8716257214546204)","('Air_Quality', 0.04521584138274193)","('Energy_Management', 0.014032308012247086)","([], 0.8716257214546204)","('NON-ESG', 0.04521584138274193)","('NON-ESG', 0.014032308012247086)"
Line 55,"Water Ensure we have net water positive impact: Our target to become net water positive by 2030 means achieving best-in-class Achieving these ambitious goals will require investment and innovation, and we are exploring renewable, non-fossil-fuel-based sources for packaging materials, such as plant-based materials that are safe, efficient and have a lighter carbon footprint than fossil-fuel based plastics.","('Water_And_Wastewater_Management', 0.9558125734329224)","('Waste_And_Hazardous_Materials_Management', 0.005918714217841625)","('Energy_Management', 0.005619414150714874)","(['Water Related Risks'], 0.9558125734329224)","('NON-ESG', 0.005918714217841625)","('NON-ESG', 0.005619414150714874)"
Line 56,"Were helping to develop infrastructure, advocating for smart policies and engaging consumers so that packaging never becomes waste.","('Waste_And_Hazardous_Materials_Management', 0.9741265773773193)","('Product_Design_And_Lifecycle_Management', 0.0027308904100209475)","('Water_And_Wastewater_Management', 0.002401372417807579)","(['Food Loss & Waste'], 0.9741265773773193)","('NON-ESG', 0.0027308904100209475)","('NON-ESG', 0.002401372417807579)"
Line 57,"People Provide meaningful jobs and growth opportunities for our people and empower them to make a positive impact at work, at home and in their local communities: We are providing new programs aimed at making PepsiCo an even better place to work and empowering our associates to make a greater impact on their communities.","('Human_Rights_And_Community_Relations', 0.755981981754303)","('Employee_Engagement_Inclusion_And_Diversity', 0.09245908260345459)","('Access_And_Affordability', 0.04465612769126892)","([], 0.755981981754303)","('NON-ESG', 0.09245908260345459)","('NON-ESG', 0.04465612769126892)"
Line 58,We are launching a tuition assistance program giving U.,"('Access_And_Affordability', 0.48001909255981445)","('Management_Of_Legal_And_Regulatory_Framework', 0.23018908500671387)","('Ecological_Impacts', 0.02611459046602249)","('NON-ESG', 0.48001909255981445)","('NON-ESG', 0.23018908500671387)","('NON-ESG', 0.02611459046602249)"
Line 59,"S. associates access to 100+ debt-free degrees, certificates and trades programs.water-use efficiency in high water-risk manufacturing sites, PepsiCo and third-party facilities (for PepsiCo facilities, this equates to a more than 50% reduction in absolute water use against a 2015 baseline), and world-class water-use efficiency in all other manufacturing sites, PepsiCo and third-party facilities.","('Water_And_Wastewater_Management', 0.9736546277999878)","('Energy_Management', 0.002762874122709036)","('GHG_Emissions', 0.002646705135703087)","(['Water Related Risks'], 0.9736546277999878)","('NON-ESG', 0.002762874122709036)","('NON-ESG', 0.002646705135703087)"
Line 60,"As of 2021, weve improved our operational water-use efficiency by 18% (versus a 2015 baseline) in high water-risk areas, toward our goal of 25% by 2025.","('Water_And_Wastewater_Management', 0.9720062017440796)","('Energy_Management', 0.0044380975887179375)","('GHG_Emissions', 0.0027776139322668314)","(['Water Related Risks'], 0.9720062017440796)","('NON-ESG', 0.0044380975887179375)","('NON-ESG', 0.0027776139322668314)"
Line 61,"Packaging PepsiCo envisions a world where packaging never becomes waste: Weve announced ambitious new goals around our aim to reduce our use of virgin plastic, use more recycled content in our plastic packaging and scale business models like SodaStream that avoid or minimize single-use plastic.","('Waste_And_Hazardous_Materials_Management', 0.9319305419921875)","('Product_Design_And_Lifecycle_Management', 0.020753031596541405)","('Water_And_Wastewater_Management', 0.005206483881920576)","(['Food Loss & Waste'], 0.9319305419921875)","('NON-ESG', 0.020753031596541405)","('NON-ESG', 0.005206483881920576)"
Line 62,"These new targets complement our 2025 goal of making 100% of our packaging recyclable, compostable, biodegradable or reusable.","('Product_Design_And_Lifecycle_Management', 0.859626293182373)","('Energy_Management', 0.04021024331450462)","('Waste_And_Hazardous_Materials_Management', 0.013749619945883751)","(['Packaging'], 0.859626293182373)","('NON-ESG', 0.04021024331450462)","('NON-ESG', 0.013749619945883751)"
Line 63,"We are focused on retaining and growing diverse female talent through mentoring, coaching and development programs throughout career stages.","('Employee_Engagement_Inclusion_And_Diversity', 0.9552790522575378)","('Access_And_Affordability', 0.003766218200325966)","('Employee_Health_And_Safety', 0.0036987466737627983)","(['Talent Attraction & Retention'], 0.9552790522575378)","('NON-ESG', 0.003766218200325966)","('NON-ESG', 0.0036987466737627983)"
Line 64,"Build a better workplace and world by advancing human rights and diversity, equity and inclusion (DE&I) for our people, in our business partnerships and our communities: We continue to make progress on our Racial Equality Journey (REJ) in the U.","('Employee_Engagement_Inclusion_And_Diversity', 0.9678723812103271)","('Human_Rights_And_Community_Relations', 0.005090202204883099)","('Employee_Health_And_Safety', 0.002948387525975704)","(['Talent Attraction & Retention'], 0.9678723812103271)","('NON-ESG', 0.005090202204883099)","('NON-ESG', 0.002948387525975704)"
Line 65,"S., a more than $570million set of commitments launched in 2020 with a focus on three pillars: People, Business and Communities.","('Human_Rights_And_Community_Relations', 0.8908134698867798)","('Access_And_Affordability', 0.01637994311749935)","('Business_Model_Resilience', 0.011921912431716919)","([], 0.8908134698867798)","('NON-ESG', 0.01637994311749935)","('NON-ESG', 0.011921912431716919)"
Line 66,"We are working to increase women in managerial positions, ensure pay equity across employee groups and promote fair, safe and injury-free working conditions.","('Labor_Practices', 0.9672978520393372)","('Employee_Health_And_Safety', 0.0073237344622612)","('Director_Removal', 0.002668803557753563)","([], 0.9672978520393372)","('NON-ESG', 0.0073237344622612)","('NON-ESG', 0.002668803557753563)"
Line 67,"In our communities, we are striving toward our goal to bring safe water access to 100million people since 2006 and advance food security.","('Water_And_Wastewater_Management', 0.9311485290527344)","('Critical_Incident_Risk_Management', 0.00944907683879137)","('Energy_Management', 0.006320481654256582)","(['Water Related Risks'], 0.9311485290527344)","('NON-ESG', 0.00944907683879137)","('NON-ESG', 0.006320481654256582)"
Line 68,"For more details see ESG Topics A-Z: Climate Change, Water , Packaging, Diversity, Equity and Inclusionpep+ 4 PepsiCo 2021 ESG Summary OverviewExpanded portfolio offerings Continue to provide consumers choice for every occasion by expanding our product offerings by 2025: Weve made significant progress on reducing addedsugars in our beverages and reducing sodium inconvenient foods.","('Product_Design_And_Lifecycle_Management', 0.3607741594314575)","('Customer_Welfare', 0.1917659342288971)","('Selling_Practices_And_Product_Labeling', 0.09074863791465759)","('NON-ESG', 0.3607741594314575)","('NON-ESG', 0.1917659342288971)","('NON-ESG', 0.09074863791465759)"
Line 69,"In 2021, we attained our saturatedfat reduction goal of 75% of our convenient foodsportfolio not exceeding 1.1 grams of saturated fatper 100 Calories.","('Customer_Welfare', 0.6997284293174744)","('Selling_Practices_And_Product_Labeling', 0.06181686744093895)","('Energy_Management', 0.047390419989824295)","([], 0.6997284293174744)","('NON-ESG', 0.06181686744093895)","('NON-ESG', 0.047390419989824295)"
