JPM_2019.pdf,JPM_2018.pdf,JPM_2020.pdf,JPM_2021.pdf,JPM_2022.pdf
"Asset & Wealth Management offers investment management across most major asset classes, as well as brokerage and banking services.",,,,
The majority of AWM’s client assets are in actively managed portfolios.,,,,
"For information about the firm’s financial performance, please refer to the firm’s quarterly earnings materials as well as quarterly and annual reports on Form 10-Q and Form 10-K, respectively.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 4 INVESTING IN OUR EMPLOYEES INTRODUCTIONPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIESOur Key Environmental, Social and Governance Topics As a global financial services company, JPMorgan Chase manages a broad range of ESG matters.",,,,
This report is designed to focus on those we have identified as among the most relevant to our business and of the greatest interest to our stakeholders.,,,,
Our firm has an ongoing process to reassess the topics covered in our ESG Report and identify new ones for inclusion.,,,,
This process includes discussions with subject matter experts from across our businesses and analysis of the feedback we receive and insights we gain through our regular engagement with stakeholders (see p. 6).,,,,
"We also monitor ESG trends, standards and practices related to our industry and ESG reporting and disclosure guidance.",,,,
We have reaffirmed that the broad categories we had identified remain relevant for our firm.,,,,
"In this year’s report, we have added more discussion of our approach to managing climate-related risks and opportunities, as part of our firm’s sustainability strategy.",,,,
"The following topics are discussed in this report: Promoting Sound Governance~Board leadership and management processes ~Ethical culture ~Control environment ~Cybersecurity ~Political engagement and public policy Serving Our Customers~Engagement with retail customers and consumer organizations ~Fair and transparent marketing and advertising ~Data security ~Products and services for a diverse retail customer base ~Promotion of consumer financial health globally Investing in Our Employees~Talent attraction, retention and development ~Compensation and benefits for our employees ~Diverse and inclusive culture Supporting Our Communities~Use of investment and philanthropic capital to expand access to economic opportunity in the communities where we do business Advancing Sustainability~Integration of environmental and social issues into due diligence and analysis ~Assessment of climate-related risks and opportunities ~Financial solutions that generate positive environmental and social impacts ~Partnerships with organizations to advance sustainable development ~Management of the environmental impacts of our buildings and branches, including energy use, greenhouse gas emissions, water and waste More information about how these topics align with the GRI Standards reporting framework, including how we define topic boundaries and the GRI topics and disclosures we report, can be found in our Global Reporting Initiative Index.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 5 INVESTING IN OUR EMPLOYEES INTRODUCTIONPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES Stakeholder Engagement Our firm has a broad range of stakeholders, including shareholders, employees, regulators and policymakers, customers and clients, research analysts and communities.",,,,
Ongoing and proactive engagement with these groups makes our company stronger and better informed.,,,,
It helps us gain valuable insight into our stakeholders’ perspectives and the topics that matter to them.,,,,
"It better enables us to develop products, services and programs that are responsive to their needs.",,,,
"This engagement also allows us to share information about our firm’s strategy, practices and performance.",,,,
"Responsibility for engaging with stakeholder groups is widely shared across our firm’s lines of business and corporate functions, and we engage through numerous channels.",,,,
"For example: Shareholders We interact and communicate with shareholders through our Investor Day, quarterly earnings calls, Securities and Exchange Commission filings, Annual Report and Proxy Statement, annual meeting of shareholders, investor conferences, web communications and other forums.",,,,
"We conduct a formal shareholder outreach program focused on topics including corporate governance, the firm's strategy and performance and matters related to the Proxy Statement.",,,,
"In these meetings, we solicit shareholders’ perspectives and share information about our management of a range of matters, including ESG topics.",,,,
"For example, the main areas of focus of our fall 2019 meetings were executive compensation, corporate governance and climate change strategy.",,,,
"After each of these outreach programs, we share feedback from our investors with our Board.",,,,
"In 2019 we reached out to our top 100 and select other shareholders, together representing over 50% of our outstanding common stock, and received feedback from shareholders representing approximately 45% of the firm’s outstanding common stock across more than 60 engagements.",,,,
We also engage in dialogue outside of these more formal channels.,,,,
"These engagements provide us with useful feedback, which we consider when developing the strategic direction for the firm.Employees We share information with our employees and gather their input through our global Employee Opinion Surveys, regular town hall and small group meetings, blogs and newsletters, online suggestion tools via our intranet and other forums.",,,,
"We also have a variety of mechanisms through which employees can fulfill their obligation to report any known or suspected violation of our Code of Conduct, company policies or laws that govern our business.",,,,
"This includes our toll-free Code Reporting Hotline, which is operated by an independent third party and offers translation services.",,,,
"Employees can contact the hotline to report concerns 24 hours a day, seven days a week.",,,,
"Regulators and Policymakers We strive to maintain an open, ongoing dialogue with our global supervisory regulators and a broad array of other policymakers.",,,,
"Our senior leaders and Directors commit a significant amount of their time to meeting with our regulators and policymakers, providing opportunities for us to hear firsthand about their priorities and to keep them informed about developments in our businesses.",,,,
"In addition, our businesses and control functions engage with regulators—for example, through exams and continuous monitoring, regular meetings and ad hoc requests.",,,,
We share reports with regulators on a range of matters.,,,,
"We also seek feedback about whether they are getting the right level, quality and frequency of information.",,,,
"INVESTING IN OUR EMPLOYEES INTRODUCTIONPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES JPMORGAN CHASE & CO. Environmental Social & Governance Report 6Customers and Clients We use multiple channels to solicit and respond to our consumer banking customers’ feedback about our products, services and organization as a whole.",,,,
"Customers may communicate with us directly in our branches, via surveys, through our website and our various social media channels, and by phone or mail.",,,,
"We also regularly engage with and solicit feedback from our corporate, institutional, public sector and other clients through multiple channels, including individual meetings, conferences and other forums.",,,,
"Research Analysts We provide a wide range of information to members of the investment community, including financial and ESG analysts and researchers, through reports, presentations, regulatory filings, conferences and publications on our website, as well as by responding to surveys and specific information requests.",,,,
We also engage with analysts and researchers through calls and meetings.,,,,
"Communities Within our communities, we engage with nonprofit organizations on matters that are important to consumers and our business.",,,,
"For example, through the Chase Advisory Panel program, our senior executives engage with national consumer policy groups to discuss issues related to the firm’s products, policies, customer-facing practices and communications and public policy issues.",,,,
"In addition, through the JPMorgan Chase Policy Center we develop and advance policies at the federal, state and local levels designed to drive inclusive economic growth and strengthen communities (see p. 24).",,,,
"We also have philanthropic relationships with nonprofit organizations focused on making a positive impact in local communities and cities around the world.Additional Online Resources The ESG page on our website provides links to numerous JPMorgan Chase publications, documents, policies and other sources of information about various ESG topics, including: ~Annual Report ~Business Principles ~Code of Conduct ~Code of Ethics for Finance Professionals ~Corporate Governance Principles ~Diversity and Inclusion ~Environmental and Social Policy Framework ~Equal Opportunity, Anti-Discrimination and Anti- Harassment Statement ~How We Do Business—The Report ~Human Rights Statement ~JPMorgan Chase Polic yCenter ~Our Impact ~Political Engagement and Public Policy Statement ~Proxy Statement ~Supplier Information ~TCFD Climate Report ~U.K.",,,,
"Modern Slavery Act Transparency Statement For additional information, please visit w ww.jpmorganchase.com/ESG.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 7 INVESTING IN OUR EMPLOYEES INTRODUCTIONPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES Promoting Sound Governance Our firm has robust structures, processes and controls designed to support and promote accountability, transparency and ethical behavior—and we continually evaluate and enhance them to help us operate to the highest standards of performance in everything we do.",,,,
"Equally critical, we seek to create and reinforce a strong and healthy culture in which employees feel respected and empowered to do what is right for all of our stakeholders.",,,,
"Leadership and Governance Outstanding people, strong leadership and effective governance and controls are the foundation of our success.",,,,
"Our senior management team develops the company’s strategic direction and oversees its execution, while our Board of Directors provides oversight of management’s performance.",,,,
"In addition, senior management and the Board are charged with demonstrating, communicating and reinforcing the company’s commitment to doing business in accordance with our corporate standards and Business Principles.",,,,
Board of Directors Our Directors are a diverse group who bring a strong combination of executive experience and skills aligned with our business and strategy.,,,,
"Apart from our CEO, all of our Directors are independent, under the standards established by the New York Stock Exchange and the firm’s Corporate Governance Principles.",,,,
We have a Lead Independent Director who is appointed annually by the independent Directors and facilitates independent Board oversight of management.,,,,
"At our 2019 annual meeting, our shareholders elected to our Board 11 Directors, including two women Directors and two black Directors.",,,,
"In 2020, two of our Directors decided to retire when their terms expire and one new Director has been nominated for election.",,,,
"Of the 10 individuals nominated at our 2020 annual meeting on May 19, 2020, three are women and one is black.",,,,
The firm’s Corporate Governance Principles and the charters of the Board’s five principal standing committees establish a framework for the governance of the Board and oversight of the firm.,,,,
"Among their responsibilities, the committees oversee a range of matters pertaining to ESG topics.",,,,
"For example: ~The Compensation & Management Development Committee (CMDC) reviews and approves the firm’s compensation and benefit programs and oversees the firm’s culture, which includes reviewing feedback from employees and cultural initiatives and updates from management regarding significant conduct issues and related employee actions.",,,,
"As part of its oversight responsibilities, the committee also reviews the relationship among risk, risk management and compensation in light of the firm’s objectives, including the avoidance of practices that would encourage excessive or unnecessary risk-taking.",,,,
"~The Corporate Governance & Nominating Committee provides oversight of the governance of the Board of Directors, including evaluation and recommendation of Director candidates.",,,,
"JPMorgan Chase seeks Director candidates who uphold the highest standards, are committed to the firm’s values and are strong, independent stewards of the long-term interests of shareholders, employees, customers, suppliers and the communities in which we work.",,,,
"In addition to considering candidates who have the combined professional skills, experience, personal qualities, balance of tenure and collegiality needed for an effective and engaged Board, the Board looks for individuals who will contribute diverse viewpoints and perspectives to enhance its independent oversight.",,,,
"~The Risk Committee provides oversight of management’s responsibility to implement an effective global risk management framework reasonably designed to identify, assess and manage the firm’s risks.",,,,
"The committee approves applicable risk policies and reviews certain associated frameworks, analysis and reporting established by management.",,,,
"INTRODUCTIONINVESTING IN OUR EMPLOYEESADVANCING SUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES PROMOTING SOUND GOVERNANCE 8 J PMORGAN CHASE & CO. Environmental Social & Governance Report~The Audit Committee assists the Board in its oversight of management’s responsibilities to ensure that there is an effective system of controls reasonably designed to safeguard the assets and income of the firm and maintain compliance with the firm’s ethical standards, policies, plans and procedures, and with laws and regulations.",,,,
"~The Public Responsibility Committee provides oversight of the firm’s positions and practices on matters such as community investment, fair lending, sustainability, consumer practices and other issues that reflec t the firm’s values and impact its reputation.",,,,
Our annual Proxy Statement includes details about the membership and responsibilities of these committees.,,,,
Management The design of our management structure is intended to encourage effective leadership that is consistent with our corporate standards and promotes a strong corporate culture.,,,,
"We manage our firm on a line-of-business basis, while also maintaining strong corporate functions and appropriate governance of our subsidiaries.",,,,
"Within each line of business, the management structure mirrors that of the firm as a whole.",,,,
"Our firm’s most senior management body is the Operating Committee, which is responsible for developing and implementing corporate strategy and managing operations.",,,,
"As of December 31, 2019, women held 50% of the seats on the Operating Committee.",,,,
Executive Compensation Our firm’s compensation philosophy is designed to be responsive to and aligned with shareholders’ interests and encourages a shared success culture in support of our Business Principles and strategic framework.,,,,
"Our approach is driven by our recognition that the long-term success of our firm depends in large measure on the talents of our employees and alignment of their compensation with performance, business strategy and sustained shareholder value.The CMDC of the Board maintains independent oversight of our compensation programs, including executive compensation.",,,,
"In determining compensation for Operating Committee members, the CMDC uses a balanced and discretionary approach to assess performance against four broad dimensions over a sustained period of time: (i) Business Results; (ii) Risk, Controls & Conduct, including feedback received from the firm’s risk and control professionals; (iii) Client/Customer/Stakeholder, including our engagement in communities; and (iv) Teamwork & Leadership, including creating a diverse, inclusive and respectful environment and developing employees, managers and leaders.",,,,
"These performance dimensions consider short-, medium- and long-term priorities that drive sustained shareholder value, while accounting for risk, controls and conduct objectives.",,,,
"The intent of our compensation program is to incentivize long- term, sustainable decision making and to hold individuals accountable, when appropriate, for meaningful actions or issues that negatively impact business performance or the firm’s reputation.",,,,
"We maintain policies and procedures that enable us to take prompt and proportionate actions with respect to accountable individuals, including (i) reduction or elimination of annual incentive compensation; (ii) cancellation of unvested awards; (iii) clawback of previously paid compensation; and (iv) other employment-related actions, including termination of employment.",,,,
We regularly review our compensation program and actively seek out and consider feedback in making potential changes.,,,,
"In 2019, 72% of our shareholders voted in favor of our annual advisory resolution to approve executive compensation.",,,,
"In response to shareholder feedback, the CMDC made enhancements to certain features of the long-term equity awards made to the Operating Committee for 2019, including revising the payout calculation methodology, setting appropriately rigorous absolute payout thresholds and updating the relative payout scale.",,,,
The CMDC also made several enhancements to our executive compensation disclosures.,,,,
Our Proxy Statement has a Compensation Discussion and Analysis section that includes further details of our executive pay program.,,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 9 INTRODUCTIONINVESTING IN OUR EMPLOYEESADVANCING SUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES PROMOTING SOUND GOVERNANCEOur Corporate Culture Having clear and consistent policies and processes is essential to sound governance, but creating a corporate culture that reinforces and rewards adherence to them is equally vital.",,,,
Our efforts focus on fostering an environment where all employees uphold the highest ethical standards and our Business Principles in all of their engagements.,,,,
We reinforce these expectations through various channels and by encouraging our senior leaders to communicate clearly and frequently with employees.,,,,
Our efforts are also focused on promoting a culture of respect that allows every employee to feel safe and empowered at work.,,,,
"This includes having in place employee training and protocols for preventing, reporting and addressing behavior that is not in line with our Business Principles and standards.",,,,
The firm prohibits retaliation against any individual who reports a concern or assists with an inquiry or investigation.,,,,
"At the Board level, the CMDC provides oversight of the governance framework of our firmwide culture, including receiving updates from management regarding significant conduct issues.",,,,
"In addition, the CMDC holds a periodic joint session with the Risk Committee in which Directors are briefed on culture- and conduct-related matters.",,,,
"Our Control Environment Our control agenda is a top priority for the firm, and we devote significant resources to adhering and adapting to the substantial number of regulatory expectations and reporting requirements that guide our industry.",,,,
"We have a culture and infrastructure that emphasize compliance and issue escalation and remediation, as well as checks and balances designed to prevent issues and address those identified before they become problems.",,,,
We regularly engage regulators in dialogue as we develop appropriate remediation plans.,,,,
Our firm continuously seeks ways to strengthen our control environment and to simplify and appropriately mitigate risk in our operations.,,,,
We dedicate significant financial and human resources to managing these efforts across the company.,,,,
"Our control environment, which is supported by other functions, including Finance, Human Resources and Legal, is structured as follows, and additional details are available in our Annual Report .",,,,
Lines of Business Our firm’s lines of business are each responsible for identifying and addressing risks within their respective businesses and operating within a sound control environment.,,,,
"The Control Management function, which consists of control managers within each of the lines of business and corporate functions, provides dedicated support to business leaders.",,,,
"Control managers, jointly accountable with business executives, are charged with enhancing the firm’s control environment by promoting early operational risk identification and assessment, effectively designing and evaluating controls and developing solutions to mitigate risk.",,,,
"This structure is designed to enable the firm to detect control problems quickly, escalate issues promptly and engage other stakeholders to understand common themes and interdependencies among the various parts of the firm.",,,,
"The firm’s overall objective is to manage its businesses, and the associated risks, in a manner that balances serving the interests of its clients, customers and investors and protects the safety and soundness of the firm.",,,,
"Risks are generally categorized in the following risk types: ~Strategic risk is the risk to earnings, capital, liquidity or reputation associated with poorly designed or failed business plans or inadequate response to changes in the operating environment.",,,,
"~Credit and investment risk is the risk associated with the default or change in credit profile of a client, counterparty or customer; or loss of principal or a reduction in expected returns on investments, including consumer credit risk, wholesale credit risk and investment portfolio risk.",,,,
"~Market risk is the risk associated with the effect of changes in market factors, such as interest and foreign exchange rates, equity and commodity prices, credit spreads or implied volatilities, on the value of assets and liabilities held for both the short and long term.",,,,
"~Operational risk is the risk associated with an adverse outcome resulting from inadequate or failed internal processes or systems; human factors; or external events impacting the firm’s processes or systems; it includes compliance, conduct, legal and estimations and model risk.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance ReportINTRODUCTIONINVESTING IN OUR EMPLOYEESADVANCING SUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES PROMOTING SOUND GOVERNANCE 10Conduct Risk Management Conduct risk is the risk that any action or inaction by an employee or employees could lead to unfair client or customer outcomes, impact the integrity of the markets in which the firm operates or compromise the firm’s reputation.",,,,
"Our firm has an established policy framework for the governance, identification, measurement, monitoring and testing, management and reporting of conduct risk within the firm, as well as mechanisms to provide oversight of the firm’s conduct initiatives and to escalate systemic conduct risk issues when appropriate.",,,,
"Each line of business and corporate function is accountable for identifying and managing conduct risk within its operations, and multiple Board committees share oversight of conduct risk.",,,,
"Our Code of Conduct (Code) sets forth the firm’s expectations for all of our employees when it comes to maintaining a safe, productive, diverse, professional, collegial and secure work environment in which all individuals are treated with respect and dignity.",,,,
All new hires are assigned Code training and all employees are required to affirm their compliance with the Code periodically.,,,,
Each member of the Board also periodically affirms his or her compliance with the Code.,,,,
"Independent Risk Management Independent Risk Management, which consists of the Risk Management and Compliance organizations, sets and oversees the risk management structure for the firm, including the definition of policies and standards.",,,,
These organizations operate independently from the lines of business.,,,,
"Internal Audit Internal Audit, a function independent of the lines of business and Risk Management and Compliance, tests and evaluates the firm’s risk governance and management, as well as its internal control processes.",,,,
"This function brings a systematic and disciplined approach to evaluating and improving the effectiveness of the firm’s governance, risk management and internal control processes.",,,,
"Cybersecurity Cybersecurity is one of the biggest threats facing the global financial system, and it continues to be a top priority for the firm.",,,,
"Our strategy is designed to securely enable new business and technology initiatives while maintaining a relentless focus on protecting the firm, our clients and customers and our third-party partners and vendors.",,,,
"We devote significant resources to protecting and continuously improving the security of our systems, and we partner with leading technology companies to identify solutions to meet the fast-evolving threat landscape.Global Financial Crimes Compliance Global financial crime has significant adverse societal impacts and undermines confidence in the financial system, which is why our firm dedicates significant resources to fighting it.",,,,
JPMorgan Chase is committed to participating in international efforts to combat money laundering and the funding of terrorist activities.,,,,
The firm operates a risk-based global Anti-Money Laundering (AML) Compliance Program designed to comply with all applicable laws and regulations relating to the prevention of money laundering and terrorist financing in the U.S. and the other jurisdictions in which the firm operates.,,,,
"JPMorgan Chase is a founding member of the financial industry’s leading forum on financial crimes risk, the Wolfsberg Group, and we are proud to work with our fellow group members to continually develop principles and industry standards to combat money laundering and terrorist financing.",,,,
"In addition, our firm operates a Global Sanctions Compliance Program that consists of (i) procedures, systems and internal controls designed to comply with applicable sanctions; (ii) a designated person responsible for the day-to-day implementation and operation of the program; (iii) independent testing; (iv) an ongoing training program; and (v) reporting and record keeping.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 11 INTRODUCTIONINVESTING IN OUR EMPLOYEESADVANCING SUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES PROMOTING SOUND GOVERNANCEThe JPMorgan Chase cybersecurity team consists of professionals across all lines of business and geographies where the firm has operations and works 24 hours a day, seven days a week to detect, analyze, track and mitigate external threats.",,,,
"We also educate, train and test all employees on cybersecurity vigilance because we view every employee as our first line of defense.",,,,
We understand cybersecurity’s potential to impact global financial stability and we are focused on the firm’s role in building and maintaining systemic resiliency.,,,,
"We are a leader in the Financial Services Information Sharing & Analysis Center, which is an intelligence-sharing cooperative for the financial services sector.",,,,
"Its nearly 7,000 members share intelligence, best practices and exercises to better secure the sector for the benefit of the public and the resiliency and integrity of financial institutions.",,,,
"Our firm also helped drive the creation of the Financial Systemic Analysis and Resilience Center, which is an industry-funded nonprofit whose mission is to increase the resilience of the systems that underpin the U.S. financial services sector.",,,,
Collaborating and cooperating with government agencies and regulators is vital to effective cybersecurity.,,,,
We maintain open lines of communication with government representatives and law enforcement agencies to share relevant information.,,,,
"In addition, JPMorgan Chase is a leading voice on a global industry workstream on regulatory harmonization, seeking to streamline the fragmented cybersecurity regulatory environment that is currently a patchwork of different standards, frameworks and requirements from over 150 global regulators.",,,,
"Our goal is to enable more efficient and effective cybersecurity supervisory oversight, while also helping to increase security and resiliency.",,,,
Political Engagement and Public Policy JPMorgan Chase believes that responsible corporate citizenship demands a strong commitment to a healthy and informed democracy through civic and community involvement.,,,,
"Our business is subject to extensive laws and regulations, and changes to such laws can significantly affect how we operate, our revenues and the costs we incur.",,,,
"Because of the impact public policy can have on our businesses, employees, communities and customers, we engage with policymakers on a range of issues—including banking, financial services, cybersecurity, workforce development, small business, tax, trade and inclusive economic growth, among others—to advance and protect the long-term interests of the firm.",,,,
"In addition, in 2019 we launched the JPMorgan Chase Policy Center to develop and advance sustainable, evidence-based policy solutions that drive inclusive economic growth in the U.S. and around the world.",,,,
The Policy Center’s first focus is removing barriers to employment for people with a criminal background.,,,,
The firm belongs to a number of trade associations that advocate on major public policy issues of importance to the firm and the communities we serve.,,,,
"The firm’s participation as a member of these associations comes with the understanding that we may not always agree with all the positions of an association or its other members, and that we are committed to voicing our concerns as appropriate.",,,,
"The Public Responsibility Committee provides oversight of our positions and practices on public responsibility matters, including significant policies and practices regarding political contributions, major lobbying priorities and principal trade association memberships.",,,,
We aim to operate with the highest standards of public transparency in political spending.,,,,
"Our efforts have been recognized by the 2019 CPA-Zicklin Index of Corporate Political Disclosure and Accountability, which credited our firm as a Trendsetter in its 2019 report.",,,,
"In addition, in early 2019 we made enhancements to our disclosures, which are available on our website .",,,,
 Additional Online Resources ~Annual Report ~Board Committees ~Business Principles ~Code of Conduc t ~Code of Ethics for Finance Professionals ~Corporate Governance Principles ~Diversity and Inclusion ~Environmental and Social Policy Framework~Global Financial Crimes Compliance ~How We Do Business— The Report ~Human Righ ts Statement ~Political Engagement and Public Policy ~Proxy Statement ~Suppliers Information ~U.K.,,,,
"Modern Slavery Act Group Statement For additional information, please visit www.jpmorganchase.com/ESG.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 12INTRODUCTIONINVESTING IN OUR EMPLOYEESADVANCING SUSTAINABILITYSERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES PROMOTING SOUND GOVERNANCEServing Our Customers Through our four lines of business, JPMorgan Chase serves millions of consumers and small businesses in the U.S., as well as corporations, local and national governments, investors, nonprofit organizations and a range of other institutions around the world.",,,,
We strive to provide our clients and customers with exceptional service in everything we do.,,,,
"This section focuses principally on our CCB business, which serves consumers and small businesses across the U.S. under the Chase brand.",,,,
"We help our customers manage their money, purchase homes and vehicles, save and invest for the future, start and grow businesses and achieve their financial goals.",,,,
"We do so by using our expertise to help our customers make the most of their money and by continually innovating and developing products and services to enable them to bank however they choose—from their mobile phone, on their computer, at an ATM or at a Chase branch.",,,,
"Since 2018, our firm has entered 16 new markets and opened more than 90 of the 400 new Chase branches we are planning across the U.S. as part of a nationwide market expansion effort.",,,,
"The new branches give us a presence in 38 states and Washington, D.C., as of year-end 2019.Who We Serve: ~63 million households ~4 million small business customers ~52 million activ e digital users, includin g 37 million active on mobile 2019–At a Glance: ~Originated $105 billion in mortgages ~Opened 8 million credit card acc ounts ~Received 35% of all check deposits through mobile phones ~Proc essed an average of $3 billion in credit and debit payments every day Helping Customers Make the Most of Their Money Serving 63 million households, we have a deep understanding of the financial lives of consumers.",,,,
"We are using that insight to develop affordable, innovative and scalable products to help customers strengthen their financial health.",,,,
One way we do this is by offering products designed to make it easier for our customers to save and invest.,,,,
"For example, in early 2019, we introduced our low-fee Chase Secure Banking sm account (see p. 17), as well as Autosave, which lets customers set up automatic transfers to their savings accounts and monitor progress through a savings dashboard.",,,,
"A total of 1.4 million customers used Autosave in 2019, transferring $1.5 billion to their savings accounts.",,,,
"Also in 2019, we launched My Chase Loan, which gives customers a hassle-free way to use the available credit on their credit cards at a lower Annual Percentage Rate (APR) and with fewer fees than a typical personal loan or cash advance.",,,,
